Player,POS,Team,Age,GP,W,L,Min,PTS,OREB,DREB,REB,AST,TD3,+/-
Jayson Tatum,SF,BOS,25,74,52,22,2732.2,2225,78,571,649,342,1,470
Joel Embiid,C,PHI,29,66,43,23,2284.1,2183,113,557,670,274,1,424
Luka Doncic,PG,DAL,24,66,33,33,2390.5,2138,54,515,569,529,10,128
Shai Gilgeous-Alexander,PG,OKC,24,68,33,35,2416,2135,59,270,329,371,0,149
Giannis Antetokounmpo,PF,MIL,28,63,47,16,2023.6,1959,137,605,742,359,6,341
Anthony Edwards,SG,MIN,21,79,40,39,2841.5,1946,47,411,458,350,0,97
Julius Randle,PF,NYK,28,77,44,33,2737.3,1936,141,626,767,316,0,170
Donovan Mitchell,SG,CLE,26,68,44,24,2432.4,1922,63,226,289,301,0,338
Trae Young,PG,ATL,24,73,38,35,2540.7,1914,56,161,217,741,0,100
Zach LaVine,SG,CHI,28,77,38,39,2767.9,1913,42,303,345,327,0,18
Damian Lillard,PG,POR,32,58,27,31,2106.6,1866,44,233,277,425,2,105
De'Aaron Fox,PG,SAC,25,73,44,29,2435.2,1826,40,266,306,447,0,176
DeMar DeRozan,SF,CHI,33,74,37,37,2681.6,1816,34,309,343,377,0,67
Jaylen Brown,SG,BOS,26,67,46,21,2404.9,1784,78,381,459,232,0,256
Pascal Siakam,PF,TOR,29,71,35,36,2652,1720,131,425,556,415,2,123
Lauri Markkanen,PF,UTA,25,66,32,34,2272.5,1691,130,440,570,123,0,163
Nikola Jokic,C,DEN,28,69,48,21,2323,1690,167,650,817,678,29,640
Jalen Green,SG,HOU,21,76,20,56,2602.2,1683,43,241,284,281,0,-447
Jordan Poole,SG,GSW,23,82,44,38,2458.1,1675,32,193,225,369,0,-11
Mikal Bridges,SF,BKN,26,83,42,41,2963.2,1671,79,285,364,273,0,36
Stephen Curry,PG,GSW,35,56,30,26,1941.2,1648,39,302,341,352,1,268
Jalen Brunson,PG,NYK,26,68,40,28,2378.7,1633,40,201,241,421,0,152
Kyrie Irving,PG,DAL,31,60,32,28,2240.6,1623,59,245,304,331,0,222
Ja Morant,PG,MEM,23,61,40,21,1948.3,1596,61,296,357,493,7,302
LeBron James,SF,LAL,38,55,30,25,1953.9,1590,65,392,457,375,2,214
CJ McCollum,SG,NOP,31,75,38,37,2649.2,1568,55,273,328,429,0,59
Bam Adebayo,C,MIA,25,75,40,35,2598,1529,184,504,688,240,0,117
Dejounte Murray,SG,ATL,26,74,38,36,2693.4,1515,53,336,389,448,1,-62
Domantas Sabonis,PF,SAC,26,79,47,32,2735.6,1510,251,722,973,573,14,212
Klay Thompson,SG,GSW,33,69,38,31,2278.9,1509,39,247,286,163,0,163
Kristaps Porzingis,C,WAS,27,65,27,38,2119.5,1505,114,432,546,174,0,80
Darius Garland,PG,CLE,23,69,40,29,2447.2,1490,28,157,185,538,0,438
Franz Wagner,SF,ORL,21,80,33,47,2608.7,1485,70,259,329,283,0,50
Devin Booker,SG,PHX,26,53,34,19,1835.4,1471,46,194,240,293,0,247
Jimmy Butler,SF,MIA,33,64,35,29,2138,1466,141,234,375,340,0,47
Anthony Davis,PF,LAL,30,56,31,25,1904.5,1451,195,507,702,148,0,205
